utc,initiative,purpose,dev_plan_task,sap_path,odata_query,http_status,elapsed_s,result,rows_returned,has_next,note_or_sample
2026-09-25T18:07:15Z,ALL,Paging: does $orderby work despite sortable=false,W2.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderSet,$orderby=Aedat desc&$top=3&$format=json,200,0.1,3 row(s),3,no,"{""Ebeln"": ""4100001503"", ""Bsart"": ""ZDOM"", ""Aedat"": ""/Date(1789423200000)/"", ""Bedat"": ""/Date(1789423200000)/"", ""Lifnr"": ""0000400000"", ""Ekorg"": ""1000"", ""Ekgrp"": ""B01"", ""Waers"": ""ZAR""}"
2026-09-25T18:07:15Z,I07,FR-9: MARC field changes DISMM,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'DISMM',200,0.1,80,,,
2026-09-25T18:07:16Z,I07,FR-9: MARC field changes EISBE,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'EISBE',200,0.1,7,,,
2026-09-25T18:07:16Z,I07,FR-9: MARC field changes MINBE,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'MINBE',200,0.1,50,,,
2026-09-25T18:07:16Z,I07,FR-9: MARC field changes MABST,W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'MABST',200,0.1,29,,,
2026-09-25T18:07:16Z,I07,FR-9: conversions to Min-Max (DISMM new value VB),W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocItemSet/$count,$filter=Objectclas eq 'MATERIAL' and Tabname eq 'MARC' and Fname eq 'DISMM' and Value_new eq 'VB',200,0.1,13,,,
2026-09-25T18:07:19Z,I07,"FR-9: header join sample, MATERIAL class",W4.7,/sap/opu/odata/sap/ZMM_KPI02_TAB_SRV/ChangeDocHeaderSet,$filter=Objectclas eq 'MATERIAL'&$top=3&$format=json,500,0.9,HTTP 500,,,
2026-09-25T18:07:19Z,I07/I13,OAR classifier: MRP type VB (Min-Max),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'VB',200,0.1,45,,,
2026-09-25T18:07:19Z,I07/I13,OAR classifier: MRP type ND (OAR),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'ND',200,0.2,184,,,
2026-09-25T18:07:19Z,I07/I13,OAR classifier: MRP type PD (OAR),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'PD',200,0.1,827,,,
2026-09-25T18:07:19Z,I07/I13,OAR classifier: MRP type V1 (excluded),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'V1',200,0.1,78,,,
2026-09-25T18:07:19Z,I07/I13,OAR classifier: MRP type blank (excluded),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq '',200,0.1,1023,,,
2026-09-25T18:07:20Z,I07,OAR classifier: VB rows carrying a reorder point,W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=Dismm eq 'VB' and Minbe gt 0,200,0.2,45,,,
2026-09-25T18:07:20Z,I07,OAR classifier: ND/PD rows carrying a reorder point (should be ~0),W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet/$count,$filter=(Dismm eq 'ND' or Dismm eq 'PD') and Minbe gt 0,200,0.1,9,,,
2026-09-25T18:07:20Z,I07/I13,EXTWG (retired key): is the property exposed at all,W2.4,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialSet,"$select=Matnr,Extwg&$top=2&$format=json",200,0.1,2 row(s),2,no,"{""Matnr"": ""000000000000000011"", ""Extwg"": """"}"
2026-09-25T18:07:20Z,I08,I08: PO items with item category 3,W5.2,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderItemSet/$count,$filter=Pstyp eq '3',200,0.1,66,,,
2026-09-25T18:07:20Z,I08,I08: PO headers with document type ZREP,W5.2,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderSet/$count,$filter=Bsart eq 'ZREP',200,0.1,4,,,
2026-09-25T18:07:20Z,I08,"I08: 80-series material PO lines (startswith, ALPHA-padded)",W5.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderItemSet/$count,"$filter=startswith(Matnr,'0000000080')",200,0.1,79,,,
2026-09-25T18:07:20Z,I08,"I08: 80-series materials in master (startswith, ALPHA-padded)",W5.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialSet/$count,"$filter=startswith(Matnr,'0000000080')",200,0.1,26,,,
2026-09-25T18:07:20Z,I08,"I08 control: unpadded prefix, expected to match nothing",W5.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialSet/$count,"$filter=startswith(Matnr,'80')",200,0.1,0,,,
2026-09-25T18:07:20Z,I08,I08: text-only PO lines (no material),W5.5,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderItemSet/$count,$filter=Matnr eq '',200,0.1,498,,,
2026-09-25T18:07:20Z,I08,I08 control: startswith executes at all (every numeric MATNR; expect the set total),W5.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialSet/$count,"$filter=startswith(Matnr,'0000000')",200,0.1,1977,,,
2026-09-25T18:07:21Z,I08,I08: 80-series by range on 8-digit numbers,W5.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialSet/$count,$filter=Matnr ge '80000000' and Matnr le '80999999',200,0.1,0,,,
2026-09-25T18:07:21Z,I08,I08: 80-series by range on 18-digit padded numbers,W5.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialSet/$count,$filter=Matnr ge '000000008000000000' and Matnr le '000000008099999999',200,0.1,26,,,
2026-09-25T18:07:21Z,I08,I08: 541 removals to repair,W5.3,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/GoodsMovementItemSet/$count,$filter=Bwart eq '541',200,0.1,108,,,
2026-09-25T18:07:21Z,I13,I13: 201 consumption movements,W3.5,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/GoodsMovementItemSet/$count,$filter=Bwart eq '201',200,0.1,1120,,,
2026-09-25T18:07:21Z,I13,I13: 261 order-issue movements,W3.5,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/GoodsMovementItemSet/$count,$filter=Bwart eq '261',200,0.1,1518,,,
2026-09-25T18:07:21Z,ALL,W2.1 envelope: decimal and date typing sample,W2.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet,$top=2&$format=json,200,0.1,2 row(s),2,no,"{""Matnr"": ""000000000000000011"", ""Werks"": ""1500"", ""Lvorm"": false, ""Dismm"": """", ""Dispo"": """", ""Plifz"": ""        0"", ""Webaz"": ""        0"", ""Minbe"": ""0.000"", ""Eisbe"": ""              0.000"", ""Bstmi"": ""              0.000"", ""Bstma"": ""              0.000"", ""Mabst"": ""              0.000""}"
2026-09-25T18:07:21Z,ALL,W2.1 envelope: Netpr/Netwr arrive as strings,W2.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/PurchaseOrderItemSet,$top=2&$format=json,200,0.1,2 row(s),2,no,"{""Ebeln"": ""4000000000"", ""Ebelp"": ""00010"", ""Loekz"": """", ""Aedat"": ""/Date(1366668000000)/"", ""Txz01"": ""SULPHUR  1 TON BAGS SULPHUR"", ""Matnr"": ""000000001000000000"", ""Werks"": ""1400"", ""Lgort"": """", ""Bednr"": """", ""Menge"": ""              1.000"", ""Meins"": ""BAG"", ""Netpr"": ""                         0.00"", ""Peinh"""
2026-09-25T18:07:22Z,ALL,W2.1 envelope: $select support,W2.1,/sap/opu/odata/sap/ZMM_KPI02_ADD_SRV/MaterialPlantSet,"$select=Matnr,Werks,Dismm&$top=2&$format=json",200,0.1,2 row(s),2,no,"{""Matnr"": ""000000000000000011"", ""Werks"": ""1500"", ""Dismm"": """"}"
